author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,454533,203
136702084,9904,234,955930,2095
1788919128,2,29,0,0
1857642308,222,48,918845,22
723861092,49,30,281915,5
490083078,920,55,573024,134
1593916528,74,35,173051,24
1885602469,14,19,73196,2
1860570626,0,54,0,0
293093246,888,64,537607,330
278033781,6107,300,821254,1663
50559857,73,22,155287,21
1842981905,1761,87,1006171,403
1878062382,257,42,641123,114
1861583621,2251,19,265940,990
1417008787,29,14,0,0
1884248971,265,59,290272,72
1753278152,258,20,177452,4
1805159832,43,11,54489,6
1841366217,40,17,324292,1
1843042359,1405,71,468170,91
1271484857,1150,14,574920,330
1836422080,126,19,10412,0
252520937,107,20,385836,25
1833466610,308,35,356633,67
