author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,30163,271
136702084,9904,234,2003537,7046
1788919128,2,29,3601,2
1857642308,222,48,562378,95
723861092,49,30,720522,31
490083078,920,55,1070911,414
1593916528,74,35,86097,48
1885602469,14,19,6361,7
1860570626,0,54,2721,0
293093246,888,64,544010,355
278033781,6107,300,977722,4688
50559857,73,22,41609,22
1842981905,1761,87,723433,885
1878062382,257,42,1225669,134
1861583621,2251,19,855099,1166
1417008787,29,14,85460,7
1884248971,265,59,454508,210
1753278152,258,20,2601206,92
1805159832,43,11,51237,14
1841366217,40,17,11812,7
1843042359,1405,71,649418,493
1271484857,1150,14,27761,29
1836422080,126,19,199138,42
252520937,107,20,166079,21
1833466610,308,35,100219,131
1590775848,25,23,216000,10
715186309,61,13,46845,27
357129921,31,11,15761,7
327283673,0,19,187,0
1408143206,115,17,189962,49
695495226,135,23,52241,80
692137639,250,21,452406,141
576222461,2530,23,117974,184
1824856986,47,12,49087,17
332675965,0,10,51,0
975528716,492,75,481251,264
1754460160,76,16,72227,36
1887606563,80,18,245821,34
1825053086,351,11,628670,155
418903730,2,10,153,0
1724373719,2,30,592,0
1436172473,103,12,64402,42
1797903522,1365,38,472442,677
1863784261,0,14,14152,0
1876821740,144,15,181730,25
1260848431,1419,62,770971,563
1252247341,234,13,47875,112
1569084648,1,14,37145,0
1477640514,0,12,473,0
1875449004,10,10,14531,0
